league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Buckeye League,P0608079,Frech,,Findlay,1915-05-24,1915-06-09,5,5,0,0,0,0,0,0,0,0,0,5
1915,Buckeye League,P0026525,French,,Findlay,1915-05-21,1915-05-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P2236748,Glennon,,Akron,1915-06-08,1915-06-09,2,0,0,0,0,0,2,2,0,0,0,0
1915,Buckeye League,P6066783,Goodwin,,Newark,1915-06-06,1915-06-06,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P6730280,Hall,,Findlay,1915-05-19,1915-05-19,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P4328885,Hart,,Marion,1915-05-19,1915-06-09,6,5,0,0,0,0,1,1,0,0,0,5
1915,Buckeye League,P9083237,Hoffman,,Marion,1915-05-22,1915-06-10,4,3,0,0,0,0,1,1,0,0,0,3
1915,Buckeye League,P7083457,Holler,,Akron,1915-06-08,1915-06-09,2,0,0,0,0,2,0,0,0,0,0,0
1915,Buckeye League,P0465484,Hook,,Akron,1915-05-19,1915-06-09,9,8,0,0,0,0,1,1,0,0,0,8
1915,Buckeye League,P8630541,Humphreys,,Newark,1915-05-19,1915-05-22,3,0,0,3,0,0,0,0,0,0,0,0
1915,Buckeye League,P3040125,Humphries,,Newark,1915-05-31,1915-05-31,2,0,0,2,0,0,0,0,0,0,0,0
1915,Buckeye League,P2778023,Hunt,,Newark,1915-05-19,1915-05-22,3,0,0,0,0,0,3,0,3,0,0,0
1915,Buckeye League,P1453570,Jakel,,Akron,1915-06-08,1915-06-09,2,0,0,0,0,0,2,0,2,0,0,0
1915,Buckeye League,P7340226,Johnson,,Canton,1915-05-23,1915-05-25,2,0,0,0,0,2,0,0,0,0,0,0
1915,Buckeye League,P6265429,Judge,,Marion,1915-05-19,1915-06-10,15,0,0,0,0,15,0,0,0,0,0,0
1915,Buckeye League,P4471492,Kirby,,Canton,1915-05-19,1915-05-31,9,0,0,0,0,0,0,0,0,0,9,0
1915,Buckeye League,P3090856,Koontz,,Canton,1915-06-08,1915-06-10,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P8890916,Lamb,,Newark,1915-05-31,1915-05-31,2,0,1,0,0,0,1,0,1,0,0,0
1915,Buckeye League,P3544727,Laughlin,,Canton,1915-05-21,1915-05-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P3166664,Leake,,Marion,1915-05-22,1915-06-10,11,3,1,0,0,0,8,8,0,0,0,3
1915,Buckeye League,P2760876,Linn,,Akron,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P2618705,Linne,,Akron,1915-05-21,1915-06-10,5,5,0,0,0,0,0,0,0,0,0,5
1915,Buckeye League,P7369227,Long,,Akron,1915-05-23,1915-05-23,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P4993752,Long,,Newark,1915-05-19,1915-05-31,5,0,0,0,0,0,5,5,0,0,0,0
1915,Buckeye League,P1919828,Mahoney,,Lima,1915-05-22,1915-05-22,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P5583697,Malloy,,Lima,1915-06-05,1915-06-06,3,0,0,0,0,0,3,0,3,0,0,0
1915,Buckeye League,P6876638,Maroney,,Lima,1915-05-19,1915-06-10,15,0,0,0,0,0,0,0,0,0,15,0
1915,Buckeye League,P9381581,Marooney,,Lima,1915-05-27,1915-05-27,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P8873840,Matthews,,Lima,1915-06-05,1915-06-06,3,0,0,0,0,0,3,0,0,3,0,0
1915,Buckeye League,P0564835,McClaskey,,Findlay,1915-06-05,1915-06-05,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P8918990,McClellan,,Lima,1915-06-05,1915-06-06,3,0,3,0,0,0,0,0,0,0,0,0
