game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
CHJFPJQ,1915,Florida-Alabama-Georgia League,1915-05-13,0,regular,P9559101,Mitchell,
JQVQTYS,1915,Florida-Alabama-Georgia League,1915-05-13,0,regular,P9539623,La Rocque,
KZJGYGN,1915,Florida-Alabama-Georgia League,1915-05-14,0,regular,P2833764,LaRoque,
KLJRYXN,1915,Florida-Alabama-Georgia League,1915-05-14,0,regular,P0929420,White,
FPFXYGY,1915,Florida-Alabama-Georgia League,1915-05-14,0,regular,P9559101,Mitchell,
SGSYRGD,1915,Florida-Alabama-Georgia League,1915-05-15,0,regular,P0929420,White,
QQZHSFS,1915,Florida-Alabama-Georgia League,1915-05-15,0,regular,P9539623,La Rocque,
HRBZCQG,1915,Florida-Alabama-Georgia League,1915-05-15,0,regular,P9559101,Mitchell,
QHMPLSV,1915,Florida-Alabama-Georgia League,1915-05-17,0,regular,P9559101,Mitchell,
HBYQVRC,1915,Florida-Alabama-Georgia League,1915-05-17,0,regular,P0929420,White,
BVNRVBD,1915,Florida-Alabama-Georgia League,1915-05-17,0,regular,P6676711,Larocque,
YTPKNCN,1915,Florida-Alabama-Georgia League,1915-05-18,0,regular,P9559101,Mitchell,
WRVLGXZ,1915,Florida-Alabama-Georgia League,1915-05-18,0,regular,P0929420,White,
GFBMTCX,1915,Florida-Alabama-Georgia League,1915-05-18,0,regular,P8352516,Laroque,
