league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Blue Ridge League,P9793786,Holbig,,Chambersburg,1915-05-27,1915-07-10,6,5,0,0,0,0,0,0,0,0,0,5
1915,Blue Ridge League,P7398272,Holhig,,Chambersburg,1915-06-07,1915-06-07,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P4744947,Holib,,Chambersburg,1915-06-11,1915-06-11,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P4123514,Hooker,,Hagerstown,1915-05-27,1915-08-25,63,0,0,0,1,0,63,50,0,13,0,0
1915,Blue Ridge League,P2279013,Hostetter,,Hanover,1915-05-29,1915-07-28,8,0,8,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P6161189,Howard,,Gettysburg,1915-05-29,1915-08-25,25,24,0,0,0,0,1,0,0,1,0,24
1915,Blue Ridge League,P6857846,Howe,,Hanover,1915-05-29,1915-05-31,2,1,0,0,0,0,1,0,0,1,0,1
1915,Blue Ridge League,P1319799,Jacobs,,Chambersburg,1915-06-21,1915-06-21,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,P9456882,Jameson,,Chambersburg,1915-06-25,1915-07-20,6,6,0,0,0,0,0,0,0,0,0,6
1915,Blue Ridge League,P6755574,Jamison,,Chambersburg,1915-06-17,1915-07-28,5,5,0,0,0,0,0,0,0,0,0,5
1915,Blue Ridge League,P4298701,Jarewich,,Gettysburg,1915-05-31,1915-05-31,1,0,0,0,0,0,0,0,0,0,1,0
1915,Blue Ridge League,P0420566,Jarosick,,Gettysburg,1915-05-27,1915-08-14,46,0,2,0,0,0,0,0,0,0,44,0
1915,Blue Ridge League,P2208076,Jocks,,Hagerstown,1915-07-07,1915-07-10,2,0,0,0,0,0,0,0,0,0,1,0
1915,Blue Ridge League,P1297457,Johnson,,Hagerstown,1915-06-17,1915-07-05,3,3,0,0,0,0,0,0,0,0,0,3
1915,Blue Ridge League,P3004002,Johnson,,Hanover,1915-05-27,1915-05-31,2,2,0,0,0,0,0,0,0,0,0,2
1915,Blue Ridge League,P0039901,Johnson,,Martinsburg,1915-05-28,1915-08-26,51,0,4,0,0,0,0,0,0,0,47,0
1915,Blue Ridge League,P8596473,Johnson [Hag],,Hagerstown,1915-06-23,1915-06-24,2,2,0,0,0,0,0,0,0,0,0,2
1915,Blue Ridge League,P3190111,Jones,,Gettysburg,1915-05-29,1915-05-29,1,0,0,0,0,0,1,0,0,1,0,0
1915,Blue Ridge League,P8427327,Kane,,Gettysburg,1915-05-29,1915-07-08,11,0,2,0,0,0,8,4,0,4,2,0
1915,Blue Ridge League,P1839493,Keefe,,Chambersburg,1915-08-07,1915-08-07,2,0,0,0,0,2,0,0,0,0,0,0
1915,Blue Ridge League,P7985240,Keener,,Martinsburg,1915-08-04,1915-08-13,3,1,0,0,0,0,2,0,2,0,0,1
1915,Blue Ridge League,P5300102,Kelley,,Gettysburg,1915-06-07,1915-06-10,2,0,0,0,0,0,2,0,2,0,0,0
1915,Blue Ridge League,P0143608,Kelley,,Hagerstown,1915-06-30,1915-06-30,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P1962884,Kelley,,Martinsburg,1915-05-27,1915-06-23,6,6,0,0,0,0,0,0,0,0,0,6
1915,Blue Ridge League,P1880321,Kelly,,Gettysburg,1915-05-29,1915-06-09,2,0,0,0,0,0,2,0,2,0,0,0
1915,Blue Ridge League,P6723827,Kelly,,Hagerstown,1915-06-26,1915-06-26,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P9110111,Kelly,,Martinsburg,1915-05-29,1915-06-15,2,2,0,0,0,0,0,0,0,0,0,2
1915,Blue Ridge League,P4243131,Kimball,,Frederick,1915-07-20,1915-07-20,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P2521768,King,,Frederick,1915-05-29,1915-08-17,16,16,0,0,0,0,0,0,0,0,0,16
1915,Blue Ridge League,P1845336,Klein,,Chambersburg,1915-07-13,1915-07-14,2,0,0,0,0,0,2,2,0,0,0,0
