team.league,team.key,team.name,source,key,gloss.name.last,gloss.name.first,person.name.last,person.name.first,person.seq,pos
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120425-TXOBON-TXOGVL-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120426-TXOBON-TXOGVL-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120427-TXOBON-TXOGVL-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120429-TXOBON-TXOMCK-0,,,Leslie,,b04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120430-TXOBON-TXOMCK-0,,,Leslie,,b04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120501-TXOBON-TXOMCK-0,,,Leslie,,b04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120502-TXOBON-TXODEN-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120503-TXOBON-TXODEN-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120504-TXOBON-TXODEN-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120505-TXOBON-TXODEN-0,,,Leslie,,a04,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120506-TXOBON-TXOGVL-0,,,Leslie,,b06,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120507-TXOBON-TXOGVL-0,,,Leslie,,b06,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120508-TXOBON-TXOGVL-0,,,Leslie,,b06,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120509-TXOBON-TXOGVL-0,,,Leslie,,b06,2b
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120425-TXOBON-TXOGVL-0,,,Matthews,,a07,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120426-TXOBON-TXOGVL-0,,,Matthews,,a07,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120427-TXOBON-TXOGVL-0,,,Matthews,,a07,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120429-TXOBON-TXOMCK-0,,,Matthews,,b08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120501-TXOBON-TXOMCK-0,,,Matthews,,b09,ph-p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120505-TXOBON-TXODEN-0,,,Matthews,,a08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120506-TXOBON-TXOGVL-0,,,Matthews,,b04,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120507-TXOBON-TXOGVL-0,,,Matthews,,b09,ss
