game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P0666603,Hartley,,Anderson,lf,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P9011763,Kelly,,Anderson,rf,4,2,0,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,2,0,1,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P7452453,McCarthy,J.,Anderson,1b,5,4,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,,10,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2446512,Gorham,,Anderson,3b,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2276795,McEnroe,,Anderson,ss,7,3,1,,0,,,,,,,1,,,1,,,,,,,,,,,,,,,0,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P6024768,Brannon,,Anderson,c,8,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P9401324,Lathrop,,Anderson,p,9,4,1,,1,,1,,,,,,,,,,,,,,,,,,,6,,,,1,5,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,,TOTALS,,Anderson,,,33,2,1,6,,,,,,,,,,,,6,,,,,,,,,,,,,27,8,1,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2715479,Weldon,,Greensboro,lf,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2143984,Walters,,Greensboro,p,10,3,0,,0,,,,,,,,,,,,,,,,,,,,,5,,,,1,2,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2107950,Rickard,,Greensboro,cf,2,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P1340887,Jackson,,Greensboro,3b,3,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2531649,Bentley,,Greensboro,rf-c,4,4,0,,2,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P9212638,James,,Greensboro,ss,5,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P2489120,Hicks,,Greensboro,1b,6,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P7657252,McKenzie,,Greensboro,2b,7,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P5776597,Beusse,,Greensboro,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P3937903,Thrasher,,Greensboro,rf,9,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,,TOTALS,,Greensboro,,,35,0,,8,,,,,,,,,,,,7,,,,,,,,,,,,,27,10,1,,,,
