key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19
VXDPCTR,1915-05-22,0,New York State,regular,,Albany,1,,Troy,2,,,,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 24, 1915",1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,1,,,,,,,,,,
JYVHKKC,1915-05-23,0,New York State,regular,,Troy,0,,Albany,2,,,1:50,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 24, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,1,0,1,0,0,x,,,,,,,,,,
RJMZCMF,1915-05-23,0,New York State,regular,,Syracuse,6,,Elmira,5,,,2:08,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 24, 1915",0,0,0,1,0,2,0,0,3,,,,,,,,,,,0,1,0,0,0,1,2,1,0,,,,,,,,,,
SFSLFTB,1915-05-23,0,New York State,regular,,Binghamton,2,,Utica,7,,,1:52,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 24, 1915",0,0,0,2,0,0,0,0,0,,,,,,,,,,,1,0,1,1,0,0,0,4,x,,,,,,,,,,
GPWFYMM,1915-05-24,0,New York State,regular,,Elmira,2,,Albany,4,,,1:33,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 25, 1915",0,0,0,0,2,0,0,0,0,,,,,,,,,,,1,0,2,0,0,1,0,0,x,,,,,,,,,,
DTVCZQN,1915-05-24,0,New York State,regular,,Scranton,4,,Syracuse,3,,,2:40,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 25, 1915",0,0,0,3,0,0,0,0,0,0,0,0,1,,,,,,,0,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,
MXQGSJJ,1915-05-24,0,New York State,regular,,Binghamton,5,,Troy,4,,,1:40,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 25, 1915",0,0,0,1,2,0,1,0,0,,,,,,,,,,,0,0,0,1,2,0,1,0,0,,,,,,,,,,
JBTRZFP,1915-05-24,0,New York State,regular,,Wilkes-Barre,0,,Utica,5,,,1:45,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 25, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,2,0,0,1,0,2,x,,,,,,,,,,
VLRZFDT,1915-05-25,0,New York State,regular,,Elmira,3,,Albany,1,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 26, 1915",0,0,0,0,0,1,0,0,0,0,2,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
FVDRFYM,1915-05-25,0,New York State,regular,,Scranton,9,,Syracuse,8,,,2:45,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 26, 1915",0,4,0,0,0,0,1,3,1,,,,,,,,,,,4,1,3,0,0,0,0,0,0,,,,,,,,,,
CLJXTKG,1915-05-25,0,New York State,regular,,Binghamton,3,,Troy,11,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 26, 1915",1,0,0,0,0,0,1,1,0,,,,,,,,,,,1,0,7,0,0,0,1,2,X,,,,,,,,,,
NWNRRDW,1915-05-25,0,New York State,regular,,Wilkes-Barre,1,,Utica,2,,,1:38,,,,2,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 26, 1915",0,1,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
NZXBSST,1915-05-26,0,New York State,regular,,Elmira,,,Albany,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 27, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRZZFR,1915-05-26,0,New York State,regular,,Scranton,,,Syracuse,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 27, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSTXXKQ,1915-05-26,0,New York State,regular,,Binghamton,,,Troy,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 27, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRMYLHP,1915-05-26,0,New York State,regular,,Wilkes-Barre,,,Utica,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 27, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBDKGMW,1915-05-27,0,New York State,regular,,Binghamton,4,,Albany,4,,,2:55,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150527.txt,"Elmira Star-Gazette, May 28, 1915",0,2,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,0,0,0,0,0,1,0,1,0,2,0,0,0,0,,,,,
