key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
LKBLKGX,1911-05-10,0,Central,regular,,Zanesville,0,,South Bend I,1,,,1:55,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,0,x,,,,,,,,,
LFBHBRK,1911-05-11,0,Central,regular,,Terre Haute,1,,Dayton,3,,,1:25,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,2,1,0,0,0,0,0,x,,,,,,,,,
CWDGPBJ,1911-05-11,0,Central,regular,,Evansville,4,,Fort Wayne,3,,,1:30,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,0,0,3,0,0,0,0,,,,,,,,,,2,0,0,0,0,0,1,0,0,,,,,,,,,
WVJHGDW,1911-05-11,0,Central,regular,,Wheeling,3,,Grand Rapids I,2,,,1:35,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,0,0,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,2,0,0,,,,,,,,,,
ZJRKRRW,1911-05-11,0,Central,regular,,Zanesville,6,,South Bend I,0,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,2,0,1,0,0,1,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
SRGWKRG,1911-05-12,0,Central,regular,,Zanesville,7,,Dayton,5,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,3,0,0,2,0,0,0,1,,,,,,,,,,0,0,0,1,3,0,1,0,0,,,,,,,,,
WZLZCNR,1911-05-12,0,Central,regular,,Wheeling,8,,Fort Wayne,11,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,3,0,0,0,3,1,0,,,,,,,,,,0,3,1,1,1,3,0,2,x,,,,,,,,,
PYNZGKD,1911-05-12,0,Central,regular,,Evansville,3,,Grand Rapids I,4,,,1:45,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,0,0,1,1,0,0,0,0,,,,,,,,,0,1,2,0,0,0,0,0,0,1,,,,,,,,
BZWHWQZ,1911-05-12,0,Central,regular,,Terre Haute,5,,South Bend I,1,,,1:30,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,3,0,1,0,0,1,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,
NCHRPHZ,1911-05-13,0,Central,regular,,Zanesville,3,,Dayton,10,,,2:10,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,1,0,1,0,1,,,,,,,,,,1,0,7,0,0,0,2,0,x,,,,,,,,,
LKLPBJD,1911-05-13,0,Central,regular,,Wheeling,9,,Fort Wayne,11,,,2:30,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,3,1,0,2,0,0,2,,,,,,,,,,1,1,0,0,0,5,0,4,x,,,,,,,,,
HNGMZKW,1911-05-13,0,Central,regular,,Evansville,4,,Grand Rapids I,3,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,2,0,0,0,0,2,0,,,,,,,,,,0,0,2,0,0,0,0,1,0,,,,,,,,,
YNCLTSM,1911-05-13,0,Central,regular,,Terre Haute,6,,South Bend I,7,,,1:55,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,2,0,3,0,0,1,0,0,0,,,,,,,,,,3,0,0,0,0,4,0,0,x,,,,,,,,,
LQCWRZT,1911-05-14,0,Central,regular,,Zanesville,7,,Dayton,5,,,3:10,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,1,0,2,0,0,0,1,1,0,0,2,,,,,,,0,0,0,0,2,0,1,2,0,0,0,0,,,,,,
SGSHYHD,1911-05-14,0,Central,regular,,Wheeling,6,,Fort Wayne,7,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,SL Vol 57 Number 12 Page 19,0,3,1,0,0,0,2,0,0,,,,,,,,,,0,0,3,1,0,1,0,2,x,,,,,,,,,
CTPTPJC,1911-05-14,0,Central,regular,,Evansville,1,,Grand Rapids I,3,,,1:35,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,1,0,0,0,0,0,,,,,,,,,,1,0,1,1,0,0,0,0,x,,,,,,,,,
NGGXXPZ,1911-05-14,0,Central,regular,,Terre Haute,10,,South Bend I,5,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,1,2,0,0,0,2,0,0,5,,,,,,,,,0,0,2,0,0,0,0,2,1,0,,,,,,,,
