key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
e7a8fab2-3bd3-5c7f-9a67-d916769b1c40,1911-05-11,0,Central,,Evansville,4,,Fort Wayne,3,,,1:30,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,0,0,3,0,0,0,0,,,,,,,,,,2,0,0,0,0,0,1,0,0,,,,,,,,,
c14118dc-e64f-5861-92d4-db0278e5696e,1911-05-11,0,Central,,Wheeling,3,,Grand Rapids I,2,,,1:35,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,0,0,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,2,0,0,,,,,,,,,,
03f8769c-52df-5b37-87c3-5efabdb4302b,1911-05-11,0,Central,,Zanesville,6,,South Bend I,0,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,2,0,1,0,0,1,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
a56a576c-7cc1-5b7b-928d-12feabeb4ec1,1911-05-12,0,Central,,Zanesville,7,,Dayton,5,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,3,0,0,2,0,0,0,1,,,,,,,,,,0,0,0,1,3,0,1,0,0,,,,,,,,,
b304f91c-7df3-5225-b7d1-9f613dc38a7c,1911-05-12,0,Central,,Wheeling,8,,Fort Wayne,11,,,2:00,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,3,0,0,0,3,1,0,,,,,,,,,,0,3,1,1,1,3,0,2,x,,,,,,,,,
b50bde78-01d5-539a-9f38-3766c8e2c461,1911-05-12,0,Central,,Evansville,3,,Grand Rapids I,4,,,1:45,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,0,0,1,1,0,0,0,0,,,,,,,,,0,1,2,0,0,0,0,0,0,1,,,,,,,,
0c0063b9-0e36-59a8-a524-22a155c961c7,1911-05-12,0,Central,,Terre Haute,5,,South Bend I,1,,,1:30,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,3,0,1,0,0,1,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,
8d37ef07-e4eb-5b30-9bef-872310988e88,1911-05-13,0,Central,,Zanesville,3,,Dayton,10,,,2:10,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,1,0,1,0,1,,,,,,,,,,1,0,7,0,0,0,2,0,x,,,,,,,,,
2c9d9e26-4608-50ca-a672-15e0e21fbea3,1911-05-13,0,Central,,Wheeling,9,,Fort Wayne,11,,,2:30,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,3,1,0,2,0,0,2,,,,,,,,,,1,1,0,0,0,5,0,4,x,,,,,,,,,
a335d6be-7165-5d9f-9bce-abf506716ded,1911-05-13,0,Central,,Evansville,4,,Grand Rapids I,3,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,2,0,0,0,0,2,0,,,,,,,,,,0,0,2,0,0,0,0,1,0,,,,,,,,,
