key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
b6545695-7ed5-53ca-9d65-967b7d3d05b2,1915-05-28,0,Rio Grande Association,,El Paso,14,,Tucson,4,,,,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 29, 1915",0,6,0,2,1,2,3,0,0,,,,,0,1,1,0,1,1,0,0,0,,,,
d348bbb3-1ec0-56c3-bc7d-ad0a287db27a,1915-05-29,0,Rio Grande Association,,Albuquerque,6,,Phoenix,10,,,2:20,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 30, 1915",0,0,0,2,3,1,0,0,0,,,,,0,1,2,0,0,0,5,2,x,,,,
8599e12a-dba9-57c5-8c05-074dea906d5d,1915-05-29,0,Rio Grande Association,,El Paso,1,,Tucson,0,,,,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 30, 1915",0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,,,,
2cce726f-9970-5985-a058-ae72fbca0ff9,1915-05-30,0,Rio Grande Association,,Albuquerque,5,,Phoenix,0,,,1:30,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 31, 1915",4,0,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
4ea24f41-eb52-5260-b49a-65c0a4e1ec59,1915-05-30,0,Rio Grande Association,,El Paso,4,,Tucson,5,,,,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 31, 1915",0,3,0,0,0,0,0,1,0,,,,,2,0,0,0,1,0,2,0,x,,,,
ff0f8430-3b08-5e80-bcbe-815690d2e2f0,1915-05-31,0,Rio Grande Association,,Albuquerque,5,,Phoenix,2,,,2:00,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 1, 1915",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
fa490f45-4984-5104-9c2c-8a58528c7de5,1915-05-31,0,Rio Grande Association,,El Paso,5,,Tucson,4,,,,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 1, 1915",2,0,1,0,0,0,1,0,1,,,,,2,1,1,0,0,0,0,0,0,,,,
6b09d06f-3ab5-5b27-9ead-0b07ea96df47,1915-06-01,0,Rio Grande Association,,El Paso,2,,Phoenix,0,,,1:30,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 2, 1915",1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
c5b62ff0-9912-58d5-b632-b7e36d1492d6,1915-06-02,0,Rio Grande Association,,Tucson,3,,Albuquerque,2,,,,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 3, 1915",1,0,0,2,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,1,,,,
abb3be72-1ef9-5914-b86e-81790c8785a3,1915-06-02,0,Rio Grande Association,,El Paso,2,,Phoenix,5,,,1:40,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 3, 1915",0,1,0,0,0,1,0,0,0,,,,,0,0,0,5,0,0,0,0,0,,,,
8adf0b57-96ae-5a18-80f1-edbdc8763c0b,1915-06-03,0,Rio Grande Association,,Tucson,4,,Albuquerque,3,,,,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 4, 1915",2,0,0,0,2,0,0,0,0,,,,,0,1,0,0,0,0,2,0,0,,,,
9997b5f9-437a-5b9c-8dde-e2a69d31c45a,1915-06-03,0,Rio Grande Association,,El Paso,2,,Phoenix,1,,,2:00,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 4, 1915",0,0,0,2,0,0,0,0,0,,,,,0,0,0,0,0,1,0,0,0,,,,
32072e1e-400b-5afc-b775-d20121ff6de0,1915-06-04,0,Rio Grande Association,,Tucson,4,,Albuquerque,6,,,,,,,transcript/1915/1915-AR/boxes/AR-19150531.txt,"Arizona Republic, June 5, 1915",0,0,1,1,0,2,0,0,0,,,,,0,2,0,0,0,3,1,0,x,,,,
