key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
f8246cc3-b4b9-5c36-909c-ac4f46b43bb1,1908-04-18,0,Cotton States,,Gulfport,1,,Vicksburg,3,,,1:35,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 19, 1908",0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,3,0,0,0,x,,,,,,,
881e17bf-98fb-5f15-9b48-3a4a45e9f5de,1908-04-18,0,Southern Association,,Nashville,,,Atlanta,,,,,,postponed,wet grounds,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 19, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccdf6824-5f0a-556d-9bf2-e1261c9a895b,1908-04-18,0,Southern Association,,Little Rock,0,,Memphis,1,,,1:35,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 19, 1908",0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,x,,,,,,,
17376159-b403-5325-8d3f-21023f63b832,1908-04-18,0,Southern Association,,Birmingham,2,,Montgomery,4,,,1:40,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 19, 1908",0,1,0,0,1,0,0,0,0,,,,,,,,1,0,0,3,0,0,0,0,x,,,,,,,
625e0f38-7289-51ef-88de-16b31c6ad567,1908-04-18,0,Southern Association,,Mobile,2,,New Orleans,1,,,1:45,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 19, 1908",1,1,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,
db577220-c628-53e3-b6f2-95e8db91ade3,1908-04-19,0,Cotton States,,Jackson,16,,Monroe,3,,,2:00,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 20, 1908",2,0,1,0,1,5,6,0,1,,,,,,,,1,0,0,0,2,0,0,0,0,,,,,,,
8ac812bc-7605-537d-8f0e-88c8fba1f8d0,1908-04-19,0,Cotton States,,Gulfport,3,,Vicksburg,0,,,1:28,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 20, 1908",1,1,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
28c0d8a8-eeee-5da9-901f-230222949e39,1908-04-19,0,Southern Association,,Little Rock,2,,Memphis,1,,,2:05,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 20, 1908",0,0,1,0,0,0,0,0,0,0,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,
77aa3ffb-19a0-554a-81f8-fb7c50937c86,1908-04-19,0,Southern Association,,Mobile,6,,New Orleans,5,,,2:30,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 20, 1908",0,0,0,0,0,1,3,2,0,,,,,,,,2,0,0,1,1,1,0,0,0,,,,,,,
732e18be-7e56-516d-91ed-841c750a2e3f,1908-04-20,0,Arkansas State,,Helena,0,,Hot Springs,2,,,,,,,transcript/1908/1908-MCA/boxes/ARSL-19080420.txt,"(Memphis) Commercial Appeal, April 21, 1908",0,0,0,0,0,0,0,0,0,,,,,,,,0,2,0,0,0,0,0,0,x,,,,,,,
