game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Sweely,,Duluth,c,8,4,0,,1,1,,,,,,,,,,,,,,,,,,,,9,3,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Jones,,Duluth,p,9,3,0,,1,,,,,,,,,,,,,7,,7,3,6,,,,0,2,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,TOTALS,,Duluth,,,39,6,,12,,,,,,,,,,,10,,,,,,,,,,24,16,2,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Pfeffer,,St. Boniface,ss,1,3,0,,0,,,,,,,,,,,,,,,,,,,,,3,5,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Culver,,St. Boniface,p,10,0,0,,0,,,,,,,,,,,,,.1,,1,,,,,,0,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Adams,,St. Boniface,1b,2,4,2,,2,,,,,,,,,,1,,,,,,,,,,,16,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Lane,,St. Boniface,lf,3,3,1,,1,,1,,,,,,,,2,,,,,,,,,,,2,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Miller,H.,St. Boniface,cf,4,4,1,,3,,1,,,,,,,,1,,,,,,,,,,,3,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Nagle,,St. Boniface,2b,5,4,1,,0,,,,,,,,,,1,,,,,,,,,,,1,4,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Spellman,,St. Boniface,c,6,4,1,,2,,1,1,,,,,,,,,,,,,,,,,,0,1,0,,,
